number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_ub-actions,params_ub-frames,params_weight-decay,state
45,0.5436824947595597,2025-03-02 13:28:19.791673,2025-03-02 13:29:34.913723,0 days 00:01:15.122050,0.7240292185199081,0.40244489791570637,8,0.011003230855825387,0.05630707158136687,0.03336599795800689,0.0504835762408284,0.024346293120050246,0.06829566475312909,0.0003564327207765385,22,9,0.020942798743928348,0.2302775603590212,False,True,3.547446718932224e-05,COMPLETE
46,0.609497994184494,2025-03-02 13:29:34.916963,2025-03-02 13:30:34.031516,0 days 00:00:59.114553,0.23491957467818736,0.4524028405442949,8,0.0710363553995057,0.07759575712064909,0.08783879592475183,0.08391586613750937,0.010798305378673902,0.09971814586437742,0.000123855486384813,15,11,0.029329150896849045,0.2576764706518001,False,True,2.3177243818608768e-05,COMPLETE
47,0.5348550826311111,2025-03-02 13:30:34.034857,2025-03-02 13:31:41.479565,0 days 00:01:07.444708,0.3479376759994776,0.48786892684086997,8,0.0304632395032649,0.02357301455390807,0.04051284677228677,0.030825968108305193,0.03277762818396953,0.08434391167763684,8.887680636749417e-05,19,23,0.014709282266679547,0.2802973913684392,True,True,1.4275948951576587e-05,COMPLETE
48,0.6529022067785263,2025-03-02 13:31:41.482833,2025-03-02 13:33:09.277544,0 days 00:01:27.794711,0.6592335484191828,0.2930959587920857,8,0.08528824251027813,0.05172627492146364,0.021421370155385325,0.021623464235179288,0.021058885445783996,0.07844305496853789,2.990740382667242e-05,27,6,0.005891471151411397,0.15559958247726086,False,True,0.00011893088581840372,COMPLETE
49,0.6546022862195969,2025-03-02 13:33:09.280960,2025-03-02 13:34:20.885483,0 days 00:01:11.604523,0.7823729364639604,0.5491728364053369,8,0.023466211113726772,0.030441873921827692,0.05369249002892825,0.09913278226017241,0.004613489923935725,0.027384296234744254,4.767418608718894e-05,17,5,0.03692967754785782,0.26876294820938007,False,False,7.219728147615998e-05,COMPLETE
50,0.5450210422277451,2025-03-02 13:34:20.888813,2025-03-02 13:35:35.050408,0 days 00:01:14.161595,0.48512670880752906,0.5993074755353248,8,0.03481142711185173,0.03791067088653081,0.005135057706476109,0.05676116209310318,0.0010068683533978537,0.07222812593759413,0.06685375722722539,21,16,0.02155355398956265,0.2444781683439297,True,True,0.00020923232631147673,COMPLETE
51,0.653902867436409,2025-03-02 13:35:35.053828,2025-03-02 13:36:44.240370,0 days 00:01:09.186542,0.7968319282214125,0.5237843959880448,8,0.024502055582741888,0.030890983626289698,0.05350728169912751,0.09611865237437342,0.007895807838929065,0.030976767978616343,4.816093766755844e-05,16,5,0.03718954714633787,0.2682786295415156,False,False,4.7224420011953454e-05,COMPLETE
52,0.632532799243927,2025-03-02 13:36:44.243899,2025-03-02 13:37:55.400468,0 days 00:01:11.156569,0.7701492346863567,0.550397536862188,8,0.005208100054181096,0.026790233597923492,0.05799961944086022,0.0656629617036042,0.006013833233249721,0.012979836960099063,0.00013436143324857425,17,7,0.0490798881820093,0.2547936685807025,False,False,7.257621728192671e-05,COMPLETE
53,0.654629722237587,2025-03-02 13:37:55.403907,2025-03-02 13:39:04.750286,0 days 00:01:09.346379,0.7132338883179835,0.44138363213259724,8,0.017322406534573294,0.02021453823191781,0.04600674214938848,0.09965342860329005,0.013749921912940114,0.029038202031319474,2.076803690474902e-05,17,5,0.034543661934955075,0.29979056161474527,False,False,6.245978110914344e-05,COMPLETE
54,0.6568313628435134,2025-03-02 13:39:04.755419,2025-03-02 13:40:12.807415,0 days 00:01:08.051996,0.7282302075543811,0.4347332945113783,8,0.015606846767040404,0.010700815286921806,0.045021186673288444,0.07746549130746007,0.02013395847679442,0.0913063590534074,1.9015687886887758e-05,16,8,0.025604107001468233,0.29854159232402366,False,False,2.905980456259927e-05,COMPLETE
55,0.6519552677869797,2025-03-02 13:40:12.811112,2025-03-02 13:41:20.843553,0 days 00:01:08.032441,0.7438044232190459,0.38195799983285983,8,0.012113254482955096,0.008516871034548235,0.025117166880109107,0.07910085435249814,0.02674580363060527,0.09176904634180107,1.0753111741349386e-05,16,9,0.025750997547528933,0.2869310899531961,False,False,1.1255752935431056e-05,COMPLETE
56,0.6519071459770203,2025-03-02 13:41:20.847026,2025-03-02 13:42:20.237892,0 days 00:00:59.390866,0.6303035777277974,0.4690994498126339,8,0.008440134981799664,0.014800550756958467,0.037323363379519844,0.047096897324747894,0.019688453648733575,0.09638816812207981,1.7778740092699183e-05,15,8,0.010656349779096972,0.21391134149597774,False,True,2.0475082022065565e-05,COMPLETE
57,0.6549012780189514,2025-03-02 13:42:20.241589,2025-03-02 13:43:33.262853,0 days 00:01:13.021264,0.6702532139114348,0.6407075927428912,8,0.06435810354533757,0.04705124826927326,0.01471426121380131,0.07124375888959165,0.031281125556238916,0.08589995819009177,0.00031049814805663426,18,7,0.015996067833463322,0.28034789960080786,False,False,3.122243483147257e-05,COMPLETE
58,0.64742990732193,2025-03-02 13:43:33.266384,2025-03-02 13:44:59.044313,0 days 00:01:25.777929,0.32358590244744423,0.5025900834254782,8,0.014508439873999933,0.011220930881644647,0.02959170138223593,0.08708866408970051,0.016778791918511567,0.09046232018098589,0.0048354967006862,25,10,0.020201461992001984,0.2378267292037505,True,True,7.724308204443476e-06,COMPLETE
59,0.52359137237072,2025-03-02 13:44:59.047870,2025-03-02 13:46:18.724640,0 days 00:01:19.676770,0.6486945105357839,0.4366758991355855,8,0.0032347767516831844,0.004279561889360548,0.043811835355426085,0.038741106484691916,0.022285861982211372,0.08114631810680185,0.00017327145036379776,24,18,0.002682220710056374,0.2592737451349292,False,True,3.967111972798334e-05,COMPLETE
60,0.6346392929553986,2025-03-02 13:46:18.728175,2025-03-02 13:47:35.621554,0 days 00:01:16.893379,0.5711861260066227,0.3981551350421966,8,0.01886591586450826,0.09315756636498604,0.026497809620578225,0.05197859711167407,0.03796759535673028,0.0021204085958671376,0.0005894662880752863,23,11,0.03166776399847209,0.22698806988647374,False,True,2.7185476695379996e-05,COMPLETE
61,0.6542279481887817,2025-03-02 13:47:35.625186,2025-03-02 13:48:49.417285,0 days 00:01:13.792099,0.6737831168871408,0.6623915840444684,8,0.07760171306514325,0.04728636066397292,0.012746727254582153,0.07280751667467374,0.03182943615010953,0.08731031406783113,0.00030854643807342024,18,7,0.01650731582212105,0.2812356309657454,False,False,1.395273548030335e-05,COMPLETE
62,0.6519356399774551,2025-03-02 13:48:49.420900,2025-03-02 13:49:58.820012,0 days 00:01:09.399112,0.7023799598973361,0.7084906634239169,8,0.06601104570816638,0.04260407704936627,0.01731474503241121,0.07513045148583898,0.026824866462447562,0.08514472309831432,8.706193204686876e-05,16,8,0.012650224837314764,0.2839996024120226,False,False,1.8696542475342115e-05,COMPLETE
63,0.643010601401329,2025-03-02 13:49:58.823888,2025-03-02 13:51:12.711019,0 days 00:01:13.887131,0.7465727953532671,0.6394487316843301,8,0.093050372077529,0.034908067085411575,0.008861941598375762,0.07034279420338768,0.010555795261536443,0.09443823807684426,0.0002772016788244277,18,6,0.024652189194534317,0.29315690741155676,False,False,3.1624446665728324e-05,COMPLETE
